﻿1,2025-09-17,09:00:04,23.0,97.7,
2,2025-09-17,09:05:04,24.8,97.9,
3,2025-09-17,09:10:04,25.7,97.8,
4,2025-09-17,09:15:04,25.5,90.3,
5,2025-09-17,09:20:04,23.4,89.3,
6,2025-09-17,09:25:04,21.9,89.6,
7,2025-09-17,09:30:04,21.2,90.6,
8,2025-09-17,09:35:04,21.3,91.3,
9,2025-09-17,09:40:04,21.3,91.6,
10,2025-09-17,09:45:04,21.5,91.8,
11,2025-09-17,09:50:04,21.6,91.9,
12,2025-09-17,09:55:04,21.8,92.1,
13,2025-09-17,10:00:04,21.9,92.1,
14,2025-09-17,10:05:04,21.9,92.0,
15,2025-09-17,10:10:04,22.0,92.1,
16,2025-09-17,10:15:04,22.2,92.3,
17,2025-09-17,10:20:04,22.4,92.2,
18,2025-09-17,10:25:04,22.5,92.3,
19,2025-09-17,10:30:04,22.3,92.2,
20,2025-09-17,10:35:04,21.9,92.1,
21,2025-09-17,10:40:04,21.7,92.3,
22,2025-09-17,10:45:04,21.5,92.4,
23,2025-09-17,10:50:04,21.4,92.5,
24,2025-09-17,10:55:04,21.5,92.8,
25,2025-09-17,11:00:04,21.4,92.6,
26,2025-09-17,11:05:04,21.2,92.7,
27,2025-09-17,11:10:04,21.1,92.9,
28,2025-09-17,11:15:04,21.1,93.1,
29,2025-09-17,11:20:04,21.3,93.1,
30,2025-09-17,11:25:04,21.5,93.2,
31,2025-09-17,11:30:04,21.7,93.1,
32,2025-09-17,11:35:04,21.5,92.9,
33,2025-09-17,11:40:04,21.2,92.8,
34,2025-09-17,11:45:04,20.9,93.0,
35,2025-09-17,11:50:04,20.7,93.1,
36,2025-09-17,11:55:04,20.6,93.3,
37,2025-09-17,12:00:04,20.5,93.3,
38,2025-09-17,12:05:04,20.4,93.3,
39,2025-09-17,12:10:04,20.4,93.5,
40,2025-09-17,12:15:04,20.5,93.5,
41,2025-09-17,12:20:04,20.4,93.5,
42,2025-09-17,12:25:04,20.3,93.5,
43,2025-09-17,12:30:04,20.3,93.6,
44,2025-09-17,12:35:04,20.4,93.7,
45,2025-09-17,12:40:04,20.4,93.7,
46,2025-09-17,12:45:04,20.4,93.7,
47,2025-09-17,12:50:04,20.4,93.7,
48,2025-09-17,12:55:04,20.5,93.7,
49,2025-09-17,13:00:04,20.5,93.7,
50,2025-09-17,13:05:04,20.4,93.8,
51,2025-09-17,13:10:04,20.5,93.9,
52,2025-09-17,13:15:04,20.6,93.9,
53,2025-09-17,13:20:04,20.7,93.9,
54,2025-09-17,13:25:04,20.6,93.8,
55,2025-09-17,13:30:04,20.5,93.8,
56,2025-09-17,13:35:04,20.4,93.9,
57,2025-09-17,13:40:04,20.4,94.0,
58,2025-09-17,13:45:04,20.4,94.0,
59,2025-09-17,13:50:04,20.4,94.0,
60,2025-09-17,13:55:04,20.3,94.0,
61,2025-09-17,14:00:04,20.1,94.0,
62,2025-09-17,14:05:04,20.0,94.0,
63,2025-09-17,14:10:04,19.8,94.1,
64,2025-09-17,14:15:04,19.7,94.2,
65,2025-09-17,14:20:04,19.7,94.2,
66,2025-09-17,14:25:04,19.6,94.2,
67,2025-09-17,14:30:04,19.6,94.3,
68,2025-09-17,14:35:04,19.6,94.4,
69,2025-09-17,14:40:04,19.6,94.4,
70,2025-09-17,14:45:04,19.7,94.4,
71,2025-09-17,14:50:04,19.8,94.5,
72,2025-09-17,14:55:04,19.9,94.6,
73,2025-09-17,15:00:04,20.2,94.6,
74,2025-09-17,15:05:04,20.3,94.5,
75,2025-09-17,15:10:04,20.3,94.4,
76,2025-09-17,15:15:04,20.2,94.4,
77,2025-09-17,15:20:04,20.1,94.4,
78,2025-09-17,15:25:04,19.9,94.4,
79,2025-09-17,15:30:04,19.8,94.5,
80,2025-09-17,15:35:04,19.8,94.5,
